country,WIID
North America (MER),TRUE
North America (PPP),TRUE
North Carolina,TRUE
North Dakota,TRUE
North Korea,TRUE
North Macedonia,TRUE
Norway,TRUE
Oceania (MER),TRUE
Oceania (PPP),TRUE
Ohio,TRUE
Oklahoma,TRUE
Oman,TRUE
Oregon,TRUE
Other East Asia (MER),TRUE
Other East Asia (PPP),TRUE
Other Latin America (MER),TRUE
Other Latin America (PPP),TRUE
Other MENA (MER),TRUE
Other MENA (PPP),TRUE
Other North America & Oceania (MER),TRUE
Other North America & Oceania (PPP),TRUE
Other North America (MER),TRUE
Other North America (PPP),TRUE
Other Oceania (MER),TRUE
Other Oceania (PPP),TRUE
Other Russia & Central Asia (MER),TRUE
Other Russia & Central Asia (PPP),TRUE
Other South & Southeast Asia (MER),TRUE
Other South & Southeast Asia (PPP),TRUE
Other Sub-Saharan Africa (MER),TRUE
Other Sub-Saharan Africa (PPP),TRUE
Other Western Europe (MER),TRUE
Other Western Europe (PPP),TRUE
Pakistan,TRUE
Palau,TRUE
Palestine,TRUE
Panama,TRUE
Papua New Guinea,TRUE
Paraguay,TRUE
Pennsylvania,TRUE
Peru,TRUE
Philippines,TRUE
Poland,TRUE
Portugal,TRUE
Puerto Rico,TRUE
Qatar,TRUE
Rhode Island,TRUE
Romania,TRUE
Rural China,TRUE
Russia & Central Asia (MER),TRUE
Russia & Central Asia (PPP),TRUE
Russian Federation,TRUE
Rwanda,TRUE
Saint Kitts and Nevis,TRUE
Saint Lucia,TRUE
Saint Vincent and the Grenadines,TRUE
Samoa,TRUE
San Marino,TRUE
Sao Tome and Principe,TRUE
Saudi Arabia,TRUE
Senegal,TRUE
Serbia,TRUE
Seychelles,TRUE
Sierra Leone,TRUE
Singapore,TRUE
Sint Maarten (Dutch part),TRUE
Slovakia,TRUE
Slovenia,TRUE
Solomon Islands,TRUE
Somalia,TRUE
South & Southeast Asia (MER),TRUE
South & Southeast Asia (PPP),TRUE
South Africa,TRUE
South Carolina,TRUE
South Dakota,TRUE
South Sudan,TRUE
Spain,TRUE
Sri Lanka,TRUE
Sub-Saharan Africa (MER),TRUE
Sub-Saharan Africa (PPP),TRUE
Sudan,TRUE
Suriname,TRUE
Swaziland,TRUE
Sweden,TRUE
Switzerland,TRUE
Syrian Arab Republic,TRUE
Taiwan,TRUE
Tajikistan,TRUE
Tanzania,TRUE
Tennessee,TRUE
Texas,TRUE
Thailand,TRUE
Timor-Leste,TRUE
Togo,TRUE
Tonga,TRUE
Trinidad and Tobago,TRUE
Tunisia,TRUE
Turkey,TRUE
Turkmenistan,TRUE
Turks and Caicos Islands,TRUE
Tuvalu,TRUE
USA,TRUE
Uganda,TRUE
Ukraine,TRUE
United Arab Emirates,TRUE
United Kingdom,TRUE
Urban China,TRUE
Uruguay,TRUE
Utah,TRUE
Uzbekistan,TRUE
Vanuatu,TRUE
Venezuela,TRUE
Vermont,TRUE
Viet Nam,TRUE
Virginia,TRUE
Washington,TRUE
Washington D.C.,TRUE
West Virginia,TRUE
Wisconsin,TRUE
World (MER),TRUE
World (PPP),TRUE
Wyoming,TRUE
Yemen,TRUE
Zambia,TRUE
Zimbabwe,TRUE
